id_especialidade,id_usuario,desc_especialidade,cod_sigla1,cod_sigla2,cod_sigla3,simeon_ps,ativacao,dt_atualizacao
1,1,BUCOMAXILO,CIB,PBM,NULL,1,1,"2023-09-15 00:00:00"
2,1,CARDIOLOGIA,CAR,CCV,CAI,0,1,"2023-09-15 00:00:00"
3,1,"CLINICA CIRURGICA",NULL,NULL,NULL,1,0,"2023-09-15 00:00:00"
4,1,"CLINICA MEDICA",MEI,PSM,NULL,1,1,"2023-09-15 00:00:00"
5,1,DERMATOLOGIA,DER,NULL,NULL,0,1,"2023-09-15 00:00:00"
6,1,ENDOSCOPIA,MEN,NULL,NULL,0,1,"2023-09-15 00:00:00"
7,1,GINECOLOGIA,GIN,PGN,UGI,1,1,"2023-09-15 00:00:00"
8,1,HEMATOLOGIA,HET,NULL,NULL,0,1,"2023-09-15 00:00:00"
9,1,"ALERGIA E IMUNOLOGIA",IMU,MAI,NULL,0,1,"2023-09-15 00:00:00"
10,1,INFECTOLOGIA,INF,MIH,MPI,0,1,"2023-09-15 00:00:00"
11,1,NEUROCIRURGIA,NCI,PNC,NULL,1,1,"2023-09-15 00:00:00"
12,1,NEUROCLINICA,NULL,NULL,NULL,1,1,"2023-09-15 00:00:00"
13,1,OFTALMOLOGIA,OFT,POF,NULL,1,1,"2023-09-15 00:00:00"
14,1,ONCOLOGIA,OCL,COC,CIO,0,1,"2023-09-15 00:00:00"
15,1,ORTOPEDIA,ORT,POT,NULL,1,1,"2023-09-15 00:00:00"
16,1,PEDIATRIA,PED,PPE,UPE,1,1,"2023-09-15 00:00:00"
17,1,PNEUMOLOGIA,PNE,PNI,NULL,0,1,"2023-09-15 00:00:00"
18,1,PSIQUIATRIA,PSI,PPS,NULL,1,1,"2023-09-15 00:00:00"
19,1,"SERVICO SOCIAL",SES,PSS,NULL,1,1,"2023-09-15 00:00:00"
20,1,UROLOGIA,URL,NULL,NULL,0,1,"2023-09-15 00:00:00"
21,1,VASCULAR,CIV,PCV,NULL,1,1,"2023-09-15 00:00:00"
42,1,"CIRURGIA GERAL",CIG,PCG,UCI,0,1,"2024-06-24 15:00:00"
43,1,NEONATOLOGIA,NEO,NULL,NULL,0,1,"2024-06-24 15:00:00"
44,1,NEUROLOGIA,NEU,PNR,NEI,0,1,"2024-06-24 15:00:00"
45,1,"GINECOLOGIA E OBSTETRICIA",SGO,PGO,NULL,0,1,"2024-06-24 15:00:00"
46,1,OBSTETRICIA,OBS,POA,OBC,0,1,"2024-06-24 15:00:00"
55,1,HEMOTERAPIA,HEM,NULL,NULL,0,1,"2024-06-24 15:00:00"
56,1,"MEDICINA INTENSIVA",TEI,MIY,NULL,0,1,"2024-06-24 15:00:00"
57,1,"CIRURGIA PEDIÁTRICA",CII,NULL,NULL,0,1,"2024-06-24 15:00:00"
59,1,ACUPULTURA,MAY,NULL,NULL,0,1,"2024-06-24 15:00:00"
60,1,ANESTESIOLOGIA,SAN,NULL,NULL,0,1,"2024-06-24 15:00:00"
61,1,ANGIOLOGIA,MAN,NULL,NULL,0,1,"2024-06-24 15:00:00"
62,1,BACTERIOLOGIA,FBX,NULL,NULL,0,1,"2024-06-24 15:00:00"
63,1,NEFROLOGIA,NEF,NEP,NFU,0,1,"2024-06-24 15:00:00"
64,1,PSICOLOGIA,SPS,PSL,PHO,0,1,"2024-06-24 15:00:00"
65,1,"CIRURGIA PLÁSTICA",CIP,NULL,NULL,0,1,"2024-06-24 15:00:00"
66,1,"ENDOCRINOLOGIA E METABOLOGIA",END,ENI,NULL,0,1,"2024-06-24 15:00:00"
67,1,ERGOMETRIA,CER,NULL,NULL,0,1,"2024-06-24 15:00:00"
68,1,ESTOMATOLOGIA,EST,NULL,NULL,0,1,"2024-06-24 15:00:00"
69,1,FISIOTERAPIA,FIT,FDF,FTO,0,1,"2024-06-24 15:00:00"
70,1,FONOAUDIOLOGIA,FOA,NULL,NULL,0,1,"2024-06-24 15:00:00"
71,1,GASTOENTEROLOGIA,GAS,GAI,NULL,0,1,"2024-06-24 15:00:00"
72,1,GERIATRIA,MGE,NULL,NULL,0,1,"2024-06-24 15:00:00"
73,1,"HEMATOLOGIA E HEMOTERAPIA",HER,MHP,NULL,0,1,"2024-06-24 15:00:00"
74,1,HEPATOLOGIA,GDF,NULL,NULL,0,1,"2024-06-24 15:00:00"
75,1,MASTOLOGIA,MST,NULL,NULL,0,1,"2024-06-24 15:00:00"
76,1,OTORRINOLARINGOLOGIA,OTO,NULL,NULL,0,1,"2024-06-24 15:00:00"
77,1,REUMATOLOGIA,REU,REP,NULL,0,1,"2024-06-24 15:00:00"
78,1,"TERAPIA OCUPACIONAL",TO,NULL,NULL,0,1,"2024-06-24 15:00:00"
79,1,ANGIORRADIOLOGIA,MAE,NULL,NULL,0,1,"2024-06-24 15:00:00"
80,1,COLOPROCTOLOGIA,PRO,NULL,NULL,0,1,"2024-06-24 15:00:00"
83,1,ENFERMAGEM,PEF,EFM,ENJ,0,1,"2025-04-18 10:40:00"
84,1,"MEDICINA DE EMERGENCIA",MEM,NULL,NULL,0,1,"2023-04-08 15:33:00"
